id,nombre,fuentes,genero,fecha,municipio,departamento,tipo_de_lider,cargo,fuentes_prensa,año,dia
victor-jaramillo-moreno,Víctor Jaramillo Moreno,"Prensa,Indepaz,Col. Abogados JAR",Masculino,2016-01-02,Briceño,Antioquia,Líder campesino o agrario,Campesino,http://prensarural.org/spip/spip.php?article18439,2016,01
willinton-andres-banol,Willinton Andres Bañol,"Prensa,Indepaz,Unidad de Víctimas,Somos Defensores,CODHES",Masculino,2016-01-10,Pereira,Risaralda,Líder comunitario,"Líder social de Galicia, y propietario de la Fundación Amor y Fé que prestaba servicio a niños de escasos recursos.",https://vidassilenciadas.org/victimas/37812/,2016,01
mario-alexis-tarache,Mario Alexis Tarache Perez,"Prensa,Indepaz,Somos Defensores,Cinep Noche y Niebla,Col. Abogados JAR",Masculino,2016-01-14,San Luis de Palenque,Casanare,Líder comunal - JAC,Presidente de la Junta de Acción Comunal de la vereda Arenitas de San Luis de Palenque (Casanare),http://hsbnoticias.com/noticias/judicial/dos-capturados-por-el-homicidio-del-lider-comunal-de-casanar-216781,2016,01
robinson-avila-ortiz,Robinson Avila Ortiz,"Prensa,Indepaz,Cinep Noche y Niebla,Col. Abogados JAR",Masculino,2016-01-31,Algeciras,Huila,Líder comunal - JAC,Líder comunal del Bajo Quebradón de Algeciras,"http://caracol.com.co/radio/2011/04/25/judicial/1303711260_459486.html,https://hrdmemorial.org/hrdrecord/robinson-avila-ortiz/2016",01,
senelia-regifo-gomez,Senelia Regifo Gómez,"Indepaz,Somos Defensores,Col. Abogados JAR",Femenino,2016-02-02,Colon y Genova,Nariño,Líder sindical,Docente,https://vidassilenciadas.org/victimas/37817/,2016,02
marco-aurelio-diaz,Marco Aurelio Diaz,"Somos Defensores,Col. Abogados JAR,Defensoría",Masculino,2016-02-06,El Pital de Caldono,Cauca,Líder indígena,Líder indígena NASA,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC,2016,02
marisela-tombe,Marisela Tombe,"Indepaz,Somos Defensores,Cinep Noche y Niebla,Col. Abogados JAR",Femenino,2016-02-28,El Tambo,Cauca,Líder comunal - JAC,"Presidenta de la Asociación Campesina Ambiental de Playa Rica (Ascap), de El Tambo",http://www.eltiempo.com/colombia/cali/conflicto-asesinada-lider-campesina-en-el-occidente-del-cauca/16524473,2016,02
klaus-zapata,Klaus Zapata,"Indepaz,Somos Defensores,Col. Abogados JAR",Masculino,2016-03-05,Soacha,Cundinamarca,Líder juvenil,Responsable de comunicaciones,"https://www.rcnradio.com/colombia/quien-mato-klaus-zapata,http://www.noticiasrcn.com/tags/klaus-zapata,http://www.contagioradio.com/asesinan-a-klaus-zapata-integrante-de-la-juventud-comunista-articulo-21097/",2016,03
rubiela-coicue,Rubiela Coicue,"Indepaz,Defensoría",Femenino,2016-04-17,Caloto,Cauca,Líder indígena,Miembro del resguardo López Adentro,"http://www.cric-colombia.org/portal/de-nuevo-la-muerte-y-los-que-se-creen-duenos-de-la-vida-y-el-territorio-asesinan-vilmente-a-una-mujer-humilde/,http://www.eltiempo.com/archivo/documento/CMS-16568613",2016,04
john-edwar-bermeo,John Edwar Bermeo,Defensoría,Masculino,2016-04-23,Buenos Aires,Cauca,Líder indígena,Comunero indígena del resguardo del Pueblo Ceral,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC,2016,04
adrian-quintero-moreno,Adrian Quintero Moreno,"Prensa,Indepaz,Somos Defensores,Cinep Noche y Niebla,Col. Abogados JAR",Masculino,2016-05-18,Buenaventura,Valle del Cauca,Líder afrodescendiente,Miembro de CONAFRO,"http://www.eltiempo.com/colombia/cali/asesinato-de-lider-afroamericano-en-buenaventura/16542013,http://marchapatrioticaenelvalle.blogspot.com.co/2016/03/paramilitares-asesinan-lider.html",2016,05
manuel-chima-perez,Manuel Chima Pérez,"Indepaz,Somos Defensores,Col. Abogados JAR",Masculino,2016-05-22,El Bagre,Antioquia,Líder indígena,Líder Guardia indígena Resguardo Los Almendros - Pueblo Zenú,"http://www.onic.org.co/comunicados-regionales/1206-asesinan-a-joven-perteneciente-a-la-guardia-indigena-del-bajo-cauca,https://noticias.caracoltv.com/colombia/asesinan-guardia-indigena-en-el-bajo-cauca",2016,05
willington-quibarecama-naquirucama,Willington Quibarecama Naquirucama,"Somos Defensores,Col. Abogados JAR,Defensoría",Masculino,2016-05-30,Trujillo,Valle del Cauca,Líder indígena,"Líder pueblo indígena Embera Resguardo Dachini, Guardia indígena","https://www.elheraldo.co/nacional/un-indigena-muerto-un-herido-y-varios-desaparecidos-dejan-las-primeras-protestas-del-paro,http://www.elpais.com.co/judicial/tension-en-buenaventura-por-muerte-de-indigena-en-confusos-hechos.html",2016,05
amado-gomez,Amado Gomez,"Prensa,Indepaz,Somos Defensores,Col. Abogados JAR",Masculino,2016-06-21,Chigorodo,Antioquia,Líder indígena,Gobernador local de la comunidad indígena Dojura del municipio de Chigorodó,"http://www.minuto30.com/video-presidenta-de-la-oia-anuncia-articulacion-con-justicia-ordinaria-para-esclarecer-muerte-de-gobernador-indigena-en-ghigorodo/489895/,http://elrionegrero.com/asesinan-a-gobernador-indigena-de-la-comunidad-de-dojura/",2016,06
maria-fabiola-jimenez,Maria Fabiola Jimenez de Cifuentes,"Prensa,Indepaz,Col. Abogados JAR",Femenino,2016-08-11,Barbosa,Antioquia,Líder comunitario,Líder de defensa de derechos humanos y de la mujer,http://noticias.caracoltv.com/medellin/sicarios-irrumpen-en-bus-de-servicio-publico-para-asesinar-una-abuelita,2016,08
nohora-rocio-hernandez,Nohora Rocío Hernández,"Indepaz,Somos Defensores,Col. Abogados JAR",Femenino,2016-08-16,Cúcuta,Norte de Santander,Líder comunal - JAC,Presidente Junta de Acción Comunal (JAC),http://www.wradio.com.co/noticias/regionales/cucuta-sicarios-asesinan-dirigente-comunal/20160816/nota/3218520.aspx,2016,08
oriana-nicoll-martinez,Oriana Nicoll Martinez,"Indepaz,Somos Defensores,Col. Abogados JAR",Transgénero,2016-08-17,Riohacha,La Guajira,Líder LGBTI,Líder de la comunidad LGBTI en La Guajira,https://lavoz.com.co/2017/07/20/en-libertad-acusado-del-asesinato-de-transexual-sincelejana-en-la-guajira/,2016,08
raul-de-jesus-perez,Raul de Jesus Perez,"Indepaz,Somos Defensores,Col. Abogados JAR",Masculino,2016-08-20,Canalete,Córdoba,Líder comunal - JAC,Presidente Junta de Acción Comunal (JAC),"http://www.lapiragua.co/2016/08/judicial/asesinado-presidente-de-junta-de-accion-comunal,http://www.larazon.co/web/2016/08/asesinan-ex-aspirante-al-concejo-del-municipio-canalete/",2016,08
camilo-roberto-taicus,Camilo Roberto Taicus Bisbicus,"Prensa,Indepaz,Somos Defensores,Col. Abogados JAR",Masculino,2016-08-28,Tumaco,Nariño,Líder indígena,"Líder pueblo indígena Awá, Resguardo Hojal La Turbia",http://www.eltiempo.com/colombia/cali/en-tumaco-asesinan-a-lider-indigena-awa/16684678,2016,08
alberto-pascal,Alberto Pascal,"Prensa,Indepaz,Defensoría,Somos Defensores",Masculino,2016-08-29,Tumaco,Nariño,Líder indígena,Miembro de la comunidad AWA,http://www.elespectador.com/noticias/nacional/los-lideres-sociales-asesinados-el-primer-dia-del-cese-articulo-651959; https://www.elespectador.com/noticias/nacional/los-lideres-sociales-asesinados-el-primer-dia-del-cese-articulo-651959,2016,08
ariel-sotelo,Ariel Sotelo,"Prensa,Indepaz,Col. Abogados JAR",Masculino,2016-08-29,Almaguer,Cauca,Líder campesino o agrario,Miembros del Comité de Integración del Macizo Colombiano (CIMA),http://www.colombiainforma.info/tres-lideres-campesinos-fueron-asesinados-en-el-cauca/; https://www.elespectador.com/noticias/nacional/los-lideres-sociales-asesinados-el-primer-dia-del-cese-articulo-651959; https://www.semana.com/nacion/articulo/tres-lideres-del-macizo-colombiano-fueron-asesinados/491807,2016,08
diego-alfredo-chiran,Diego Alfredo Chirán Nastacuas,"Prensa,Indepaz,Col. Abogados JAR",Masculino,2016-08-29,Barbacoas,Nariño,Líder indígena,Representante de la comunidad,http://www.eltiempo.com/colombia/cali/en-tumaco-asesinan-a-lider-indigena-awa/16684678,2016,08
cecilia-colcué,Cecilia Colcué,"Prensa,Indepaz,Defensoría,Somos Defensores,Col. Abogados JAR",Femenino,2016-09-06,Corinto,Cauca,Líder campesino o agrario,"Militante de la Marcha Patriótica y estaba vinculada también a la Asociación de Trabajadores Campesinos de la Zona de Reservas Campesinas de Corinto, así como a la Federación Nacional Sindical Unitaria Agropecuaria","http://www.elespectador.com/noticias/politica/quien-mato-cecilia-colcue-corinto-cauca-articulo-653766,http://www.elnuevosiglo.com.co/articulos/09-2016-por-que-mataron-a-la-lider-agraria-del-cauca-cecilia-coicue,http://www.elpais.com.co/elpais/judicial/noticias/asesinan-propietaria-predio-donde-desmovilizaran-farc-cauca",2016,09
armando-bedoya-fabra,Armando Bedoya Fabra,"Prensa,Indepaz",Masculino,2016-09-10,Tierralta,Córdoba,Líder campesino o agrario,Miembro de la Asociación Campesina para el Desarrollo del Alto Sinú (ASODECAS),http://ntn24america.com/noticia/asodescas-denuncian-que-clan-del-golfo-asesino-a-campesino-en-el-norte-de-colombia-117015,2016,09
ramiro-culma-carepa,Ramiro Culma Carepa,"Indepaz,Somos Defensores,Col. Abogados JAR,Defensoría",Masculino,2016-09-21,Coyaima,Tolima,Líder indígena,Líder indígena de la Asociación de Cabildos Indígenas del Tolima - ACIT,"http://www.contagioradio.com/asesinado-el-dirigente-indigena-ramiro-culma-capera-articulo-29626/,http://www.ecosdelcombeima.com/judiciales/nota-91186-lo-asesinaron-bar-de-la-zona-rural-de-natagaima",2016,09
henri-narvaez-delgado,Henrri Narvaez Delgado,"Indepaz,Somos Defensores",Masculino,2016-10-06,Rosas,Cauca,Líder indígena,"Líder indígena, Resguardo de Intiyaco",NA,2016,10
